relseconds,latitude,longitude,altitude,groundspeed
147.149,0,0,3192.039306640625,0
147.478,0,0,3188.507080078125,0
147.78,0,0,3188.507080078125,0
148.081,0,0,3188.507080078125,0
148.382,0,0,3188.507080078125,0
148.683,0,0,3188.507080078125,0
148.99,0,0,3188.507080078125,0
149.291,0,0,3188.507080078125,0
149.592,0,0,3188.507080078125,0
149.902,0,0,3173.876708984375,0
150.212,0,0,3173.876708984375,0
150.522,0,0,3173.876708984375,0
150.832,0,0,3173.876708984375,0
151.139,0,0,3173.876708984375,0
151.455,0,0,3173.876708984375,0
151.73,0,0,3161.8798828125,0
152.032,0,0,3159.6171875,0
152.334,0,0,3157.47607421875,0
152.636,0,0,3155.865966796875,0
152.938,0,0,3155.865966796875,0
153.245,0,0,3155.865966796875,0
153.546,0,0,3155.865966796875,0
153.847,0,0,3155.865966796875,0
154.148,0,0,3155.865966796875,0
154.449,0,0,3155.865966796875,0
154.75,0,0,3155.865966796875,0
155.051,0,0,3142.4208984375,0
155.36,0,0,3140.671630859375,0
155.661,0,0,3140.671630859375,0
155.983,0,0,3137.938720703125,0
156.258,0,0,3135.2880859375,0
156.56,0,0,3134.140869140625,0
156.862,0,0,3132.9814453125,0
157.164,0,0,3131.550048828125,0
157.472,0,0,3129.85595703125,0
157.774,0,0,3129.85595703125,0
158.075,0,0,3129.85595703125,0
158.376,0,0,3129.85595703125,0
158.677,0,0,3129.85595703125,0
158.978,0,0,3129.85595703125,0
159.279,0,0,3129.85595703125,0
