relseconds,data
578.888,-78
579.21,-78
579.517,-76
579.819,-76
580.12,-76
580.421,-76
580.722,-76
581.023,-76
581.324,-76
581.631,-82
581.933,-82
582.234,-82
582.536,-82
582.838,-82
583.14,-82
583.462,-82
583.744,-81
584.046,-81
584.347,-81
584.648,-81
584.949,-81
585.25,-81
585.551,-81
585.975,-90
586.285,-90
586.595,-90
586.896,-90
587.197,-90
587.499,-90
587.801,-90
588.11,-83
588.411,-83
588.712,-83
589.014,-83
589.316,-83
589.618,-83
589.92,-83
590.227,-79
590.528,-79
590.829,-79
591.13,-79
591.431,-79
591.732,-79
592.034,-79
592.343,-84
592.644,-84
592.945,-84
593.247,-84
593.549,-84
593.851,-84
594.17,-84
594.453,-81
594.754,-81
595.055,-81
595.356,-81
595.657,-81
595.967,-81
596.277,-81
596.7,-80
597.001,-80
597.331,-80
597.607,-80
597.908,-80
598.21,-80
598.512,-80
598.82,-74
599.122,-74
599.423,-74
599.725,-74
600.027,-74
600.328,-74
600.629,-74
600.936,-75
601.237,-75
601.538,-75
601.862,-75
602.137,-75
602.439,-75
602.741,-75
603.049,-82
603.351,-82
603.652,-82
603.954,-82
604.256,-82
604.558,-82
604.86,-82
605.168,-78
605.47,-78
605.771,-78
606.081,-78
606.391,-78
606.701,-78
607.011,-78
607.318,-80
607.62,-80
607.921,-80
608.223,-80
608.55,-80
608.826,-80
609.127,-80
609.436,-96
609.737,-96
610.038,-96
610.339,-96
610.64,-96
610.941,-96
611.242,-96
611.549,-82
611.851,-82
612.152,-82
612.454,-82
612.756,-82
613.079,-82
613.355,-82
613.662,-86
613.964,-86
614.265,-86
614.567,-86
614.869,-86
615.171,-86
615.472,-86
615.779,-78
616.09,-78
616.4,-78
616.71,-78
617.02,-78
617.321,-78
617.622,-78
617.931,-80
618.232,-80
618.559,-80
618.834,-80
619.136,-80
619.438,-80
619.74,-80
620.049,-78
620.35,-78
620.651,-78
620.952,-78
621.253,-78
621.554,-78
621.855,-78
622.163,-81
622.464,-81
622.765,-81
623.085,-81
623.361,-81
623.662,-81
623.964,-81
624.272,-98
624.574,-98
624.875,-98
625.177,-98
625.479,-98
625.78,-98
626.09,-98
626.513,-87
626.823,-87
627.124,-87
627.455,-87
627.73,-87
628.032,-87
628.334,-87
628.642,-83
628.944,-83
629.245,-83
629.547,-83
629.849,-83
630.151,-83
630.453,-83
630.761,-85
631.062,-85
631.363,-85
631.664,-85
631.965,-85
632.266,-85
632.567,-85
632.875,-81
